vehicle_id,day,ts_ini,ts_end,cluster_ini,cluster_end
286,81.0335709722,0,665600,29,184
286,96.0101835463,0,583100,29,184
286,133.674457361,0,503500,29,184
371,109.846349056,0,481900,29,184
411,119.463075287,0,440200,29,184
436,12.5802387222,0,626400,29,184
436,15.5572418796,0,564900,29,184
436,66.5223576389,0,529200,29,184
436,71.5280882778,0,1312400,29,184
436,72.5212404444,0,825100,29,184
436,88.51661656479999,0,722600,29,184
436,100.517382056,0,1067400,29,184
436,137.509800102,0,617100,29,184
436,138.511615759,0,688000,29,184
484,51.4960710278,0,673700,29,184
484,110.444834972,0,502200,29,184
484,137.460409463,0,473900,29,184
604,80.522977713,0,602800,29,184
609,94.8874974815,0,514400,29,184
609,139.416898519,0,354400,29,184
202,29.5940603889,0,494700,29,185
283,4.74285174074,0,485200,29,185
283,71.7479452685,0,522100,29,185
283,73.6566436111,0,518000,29,185
283,75.7272293519,0,480300,29,185
283,85.695857213,0,475800,29,185
283,87.7664663611,0,447500,29,185
283,99.5363427778,0,749900,29,185
283,100.541394806,0,858500,29,185
283,130.706299398,0,458500,29,185
283,136.60076058299998,0,449500,29,185
283,142.952709972,0,394500,29,185
283,144.576582944,0,378500,29,185
283,150.773101648,0,517800,29,185
283,152.73874763,0,444900,29,185
304,143.897755917,0,534500,29,185
436,16.5579816296,0,523000,29,185
436,150.523326241,0,484600,29,185
487,129.481198287,0,595600,29,185
604,107.487336454,0,787800,29,185
609,44.5148035,0,927600,29,185
